,Unnamed: 0,artists,album_name,popularity,track_genre,album_id,duration,Album Rating
370,370,Cattle Decapitation,The Anthropocene Extinction,36,grindcore,4QUiNabvDucY1hn8LRmbGd,247186.0,36.0
374,374,Wormrot,Hiss,37,grindcore,6XfFWtshKIYvwjI6qAqR8m,87786.0,37.0
375,375,Foo Fighters,Wasting Light,70,grunge,5lnQLEUiVDkLbFJHXHQu9m,255960.0,65.0
376,376,Foo Fighters,Concrete and Gold,65,grunge,6KMkuqIwKkwUhUYRPL6dUc,244573.0,63.0
379,379,Foo Fighters,Medicine At Midnight,56,grunge,1FyNZvJ6MHO01kl3ySMPdc,255106.0,54.0
382,382,Ghost,IMPERA,72,hard-rock,3fn4HfVz5dhmE0PG24rh6h,196946.0,67.8
386,386,Crystal Castles,Crystal Castles,69,hardcore,7HJSVyFzG1sM02weSAqhdH,258453.0,66.0
388,388,Nas;A$AP Rocky;DJ Premier,Magic,61,hardcore,1tiCHRx9AI11hfcLmkGEXT,190261.0,57.0
389,389,Nas;Eminem;EPMD,King's Disease II,56,hardcore,6CM5qhYBvpgYNek5kYwuOJ,214434.0,55.5
393,393,The Roots;John Legend,How I Got Over,56,hardcore,25sYZjutddzUpXNbeQ7bEC,221066.0,56.0
394,394,Crystal Castles,Amnesty (I),55,hardcore,03CgI5yzuOcyRkkDOyCazP,188333.0,55.0
396,396,Lil Nas X,MONTERO,87,hip-hop,6pOiDiuDQqrmo5DbG0ZubR,143901.0,83.7
398,398,Drake,Scorpion,84,hip-hop,1ATL5GLyefJaxhQzSPVrLX,198973.0,84.0
399,399,Lil Nas X,7 EP,77,hip-hop,4IRiXE5NROxknUSAUSjMoO,113000.0,78.0
401,401,Drake;Wizkid;Kyla,Views,85,hip-hop,40GMAhriYJRO1rsY4YdrZb,173986.0,85.0
402,402,Eminem;Juice WRLD,Music To Be Murdered By,83,hip-hop,4otkd9As6YaxxEkIjXPiZ6,210800.0,83.0
403,403,Kendrick Lamar;SZA,Black Panther The Album Music From And Inspired By,83,hip-hop,3pLdWdkj83EYfDN6H2N8MR,232186.0,83.0
404,404,J. Cole,2014 Forest Hills Drive,88,hip-hop,0UMMIkurRUmkruZ3KGBLtG,292799.0,88.0
406,406,Kendrick Lamar,DAMN.,84,hip-hop,4eLPsYPBmXABThSJ821sqY,177000.0,84.0
407,407,Metro Boomin;Gunna,NOT ALL HEROES WEAR CAPES (Deluxe),81,hip-hop,3IO8IPjwXuzPJnoaqkwYrj,203266.0,81.0
408,408,Eminem,The Marshall Mathers LP2 (Deluxe),78,hip-hop,6DN7GcZF1HywzrkGN6Eeqk,363521.0,78.0
409,409,Kendrick Lamar,Mr. Morale & The Big Steppers,83,hip-hop,79ONNoS4M9tfIA1mYLBYVX,195950.0,82.5
410,410,Drake;Travis Scott,Certified Lover Boy,83,hip-hop,3SpBlxme9WbeQdI9kx7KAV,291175.0,83.0
412,412,Future;Drake;Tems,I NEVER LIKED YOU,89,hip-hop,6tE9Dnp2zInFij4jKssysL,189893.0,89.0
413,413,Travis Scott,ASTROWORLD,83,hip-hop,41GuZcammIkupMPKH2OJ6I,312820.0,75.6
414,414,A$AP Rocky;Skepta,TESTING,82,hip-hop,3MATDdrpHmQCmuOcozZjDa,205040.0,82.0
415,415,J. Cole;Cults;Amber Coffman,Born Sinner (Deluxe Version),82,hip-hop,5FP9keIJnlSCKnkdVOf623,296520.0,82.0
422,422,Travis Scott,Rodeo (Expanded Edition),74,house,4PWBTB6NYSKQwfo79I3prg,262693.0,74.0
426,426,Luke Abbott,Holkham Drones,9,idm,2x1yXwFPvn4ssDc5vavFEi,301546.0,9.5
428,428,Clairo,Immunity,81,indie-pop,4kkVGtCqE2NiAKosri9Rnd,188386.0,69.0
429,429,G-Eazy;Bebe Rexha,When It's Dark Out,78,indie-pop,09Q3WwGYsQe5ognkvVkmCu,251466.0,78.0
430,430,M.I.A.,Matangi,76,indie-pop,3dAxXNscIj0p53lBMEziYR,227520.0,76.0
431,431,Cults,Static,81,indie-pop,6WnfWrfsfu7T9TXbHIFHX9,223746.0,81.0
432,432,Mitski,Be the Cowboy,83,indie-pop,42cH7mrkfljkqkxA2Ip9Xq,128198.0,79.3
433,433,Glass Animals,How To Be A Human Being,72,indie-pop,6qb9MDR0lfsN9a2pw77uJy,320654.0,69.5
436,436,Clairo,Sling,74,indie-pop,32ium7Cxb1Xwp2MLzH2459,228922.0,74.0
437,437,beabadoobee,Beatopia,77,indie-pop,2rhNQbqRNxiNQkDXTffe1V,177533.0,77.0
440,440,Halsey,"If I Can’t Have Love, I Want Power",61,indie-pop,3sq0hRtlT2SYeYajr5Cx22,176413.0,61.0
441,441,Phoebe Bridgers,Punisher,72,indie-pop,6Pp6qGEywDdofgFC1oFbSH,277676.0,72.0
442,442,Rammstein,Zeit,72,industrial,75OE7M0wduJyffbffehHuR,244365.0,68.1
443,443,Death Grips,The Money Store,59,industrial,1PQDjdBpHPikAodJqjzm6a,171866.0,52.0
447,447,JPEGMAFIA,Veteran,64,industrial,51WLEfPEEkzAWurvuY6Gco,157258.0,53.4
448,448,Marilyn Manson,Heaven Upside Down,59,industrial,6kbfR3NJmBGlgsTPAYmezz,239240.0,55.5
449,449,JPEGMAFIA,LP!,59,industrial,4inXqcdjG79gV4m2mU8dQh,112451.0,50.2
455,455,Death Grips,No Love Deep Web,53,industrial,08aqY8lv4zx4uaqBUpMD8a,303693.0,53.0
459,459,JPEGMAFIA;Helena Deland,All My Heroes Are Cornballs,56,industrial,5ilsl5R2lGACTnPZMKIp7o,210569.0,55.0
468,468,Death Grips,Government Plates,51,industrial,3T01oOjbrox1jz0pR112oV,161133.0,51.0
471,471,Death Grips,The Powers That B,50,industrial,5Y04ylQjDWsawOUJXzY4YO,367569.0,48.5
477,477,Death Grips,Year Of The Snitch,48,industrial,46eayJPxf1cBWWUqNa2MJJ,211661.0,48.0
483,483,clipping.,Visions of Bodies Being Burned,46,industrial,0b1q9se93BEqBl3kiltn33,299605.0,46.0
487,487,Fetty Wap,Fetty Wap (Deluxe),74,j-dance,2gKQvajkEEaDtkqJ8FJ4uw,222093.0,59.6
492,492,Flying Lotus;Kendrick Lamar,You're Dead!,57,j-dance,29luvT98TnqHjVDYSRbbrj,234486.0,57.0
493,493,Flying Lotus,Flamagra,49,j-dance,5WfDyog8yO7ZF8JdJxeZfl,71520.0,50.5
498,498,BABYMETAL,METAL RESISTANCE,54,j-idol,2vIRdYffs93ca7L0Eh4mTm,263173.0,48.0
501,501,Sharon Van Etten,Remind Me Tomorrow,59,j-rock,4bfvR9TMwCm2tzXpboLH3t,265920.0,59.0
502,502,Sharon Van Etten,Are We There,60,j-rock,6EQWzHbd3EYO8J4EAIJst4,262520.0,60.0
503,503,BADBADNOTGOOD;Samuel T. Herring,IV,71,jazz,5wAGlQICfKYQfaBppnUbmP,273864.0,57.0
504,504,BTS;Halsey,MAP OF THE SOUL : PERSONA,80,k-pop,2KqlAl1Kl5fZvbFgJ0qFB6,229773.0,70.9
505,505,BTS,Love Yourself 轉 'Tear',76,k-pop,4NIqCxqP9o8Tp6tGLBqd8O,242333.0,70.6
506,506,BTS,MAP OF THE SOUL : 7,76,k-pop,5W1XY5ucNATjTULERvXx9j,180220.0,68.2
526,526,Jack Harlow,Come Home The Kids Miss You,79,k-pop,2eE8BVirX9VF8Di9hD90iw,173947.0,78.0
540,540,Jack Harlow,Thats What They All Say,74,k-pop,5g2INX6dnMIJG0xKygXwF3,156578.0,74.0
545,545,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,97,latin,3RQQmkQEvNCY4prGKE6oc5,178567.0,88.6
552,552,Bad Bunny;Jhay Cortez,EL ÚLTIMO TOUR DEL MUNDO,80,latin,2d9BCZeAAhiZWPpbX9aPCW,205090.0,81.0
557,557,Bad Bunny;Drake,X 100PRE,65,latino,7CjJb2mikwAWA1V6kewFBF,210367.0,75.0
572,572,Bring Me The Horizon,Sempiternal (Expanded Edition),81,metal,6IYPmM3xsOPL2XPSvf1ZAz,228146.0,61.2
573,573,Bring Me The Horizon;BABYMETAL,POST HUMAN: SURVIVAL HORROR,72,metal,0e1WaSNDZnoPixaxDNdWo4,220041.0,63.8
574,574,Deftones,Diamond Eyes,75,metal,1GjjBpY2iDwSQs5bykQI5e,241533.0,75.0
579,579,Steven Wilson,The Raven That Refused to Sing (and Other Stories),47,metal,2xJFvV7JzoYYMere5rqjVf,457250.0,47.0
581,581,TOOL,Fear Inoculum,64,metal,7acEciVtnuTzmwKptkjth5,713191.0,64.0
583,583,Deftones,Koi No Yokan,73,metal,4PIVdqvL1Rc7T7Vfsr8n8Q,413346.0,73.0
585,585,Bring Me The Horizon,amo,61,metalcore,04mkS7FooK8fRbB626T9NR,227265.0,57.7
595,595,Loathe,I Let It in and It Took Everything,62,metalcore,6nUUV3haj8ug8okTmOyIU2,287627.0,57.3
611,611,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",96,piano,04PEOM6kIEeq9lRp1asNP2,148485.0,96.0
612,612,Fiona Apple,Fetch The Bolt Cutters,59,piano,0fO1KemWL2uCCQmM22iKlj,237713.0,59.0
613,613,The Weeknd,After Hours,91,pop,4yP0hdKOZPNshxUOjY0cZj,200040.0,90.0
614,614,The Weeknd;Daft Punk,Starboy,90,pop,2ODvWsOgouMbaA5xf0RkJe,230453.0,89.0
615,615,Ed Sheeran,÷ (Deluxe),87,pop,3T4tUhGYeRNVUGevb0wThu,263400.0,86.5
617,617,The Weeknd;Gesaffelstein,"My Dear Melancholy,",90,pop,4qZBW3f2Q8y0k1A84d4iAO,241066.0,89.5
618,618,Justin Bieber,Justice,88,pop,5dGWwsZ9iB2Xc3UKR0gif2,153190.0,87.0
620,620,Harry Styles,Fine Line,89,pop,7xV2TzoaVc0ycW7fwBwAml,174000.0,89.0
622,622,Harry Styles,Harry's House,92,pop,5r36AJ6VOJtp00oxSkBZ5h,167303.0,92.0
624,624,Coldplay,A Head Full of Dreams,85,pop,3cfAM8b8KqJRoIzt3zLKqw,258266.0,85.0
625,625,Justin Bieber,Purpose (Deluxe),84,pop,6Fr2rQkZ383FcMqFyT7yPr,233720.0,83.0
626,626,Olivia Rodrigo,SOUR,88,pop,6s84u2TUpR3wdUv4NgKA2j,242013.0,87.4
627,627,The Weeknd,Beauty Behind The Madness,88,pop,0P3oVJBFOv3TDXlYRhGL7s,242253.0,88.0
630,630,Taylor Swift,folklore,86,pop,2fenSS68JI1h4Fo296JfGr,261922.0,86.0
634,634,Taylor Swift,reputation,88,pop,6DEjYFkNZh67HP7R9PSZvv,236413.0,88.0
637,637,Taylor Swift,Lover,85,pop,1NAmidJlEaVgA3MpcPFYGq,221306.0,85.0
638,638,Weezer,Weezer,77,power-pop,1xpGyKyV26uPstk1Elgp9Q,258826.0,66.3
643,643,Weezer,OK Human,52,power-pop,0dL9rGQxUeIqpiUndXaQLl,202703.0,47.5
644,644,Weezer,SZNZ: Summer,56,power-pop,1DvBf2E2OgU8HAjgInLT6H,208920.0,56.0
647,647,Weezer,Pacific Daydream,54,power-pop,3EwfQtjvyRAXsPWAKO5FDP,195893.0,54.0
650,650,The New Pornographers,Together,22,power-pop,5xB1vlldYNgaPU9HGBmr4x,212786.0,22.0
652,652,Beach Slang,The Things We Do To Find People Who Feel Like Us,21,power-pop,7MV1nOXOJ2AD5387yP9e5R,149130.0,21.0
654,654,Pond,Man It Feels Like Space Again,52,psych-rock,60aAmcYX5tw7r9ZQ1HF34q,283394.0,48.5
656,656,Unknown Mortal Orchestra,Multi-Love,60,psych-rock,2aoI8tkPq9NBvGiARD0KoR,250800.0,60.0
657,657,The Avalanches,Wildflower,57,psych-rock,0j0djiGxLnBiW7meVc2PER,252800.0,57.0
658,658,The Avalanches;MGMT;Johnny Marr,We Will Always Love You,60,psych-rock,755yBlrk0Sz8tIgMMTgyr1,187586.0,57.5
660,660,Perfume Genius,Too Bright,51,psych-rock,571wQuGuOOLTbbyYoujGra,230719.0,51.0
662,662,Black Mountain,IV,43,psych-rock,6htkNwZqRyGKXjWpCKuoSl,544070.0,57.0
663,663,Parquet Courts,Human Performance,26,psych-rock,234xgzAxSozAKfXeLb2ofh,171746.0,26.0
664,664,blink-182,NINE,64,punk-rock,4gARZz9eV7zbGbtOjhVTPF,191066.0,64.0
666,666,Conway the Machine;Ludacris;JID,La Maquina,66,r-n-b,35C2QYq4OgkEXETksStyzz,209117.0,66.0
