artists,album_name,duration_ms,danceability_x,energy_x,mode_x,acousticness_x,valence_x,tempo_x,time_signature,track_genre,album_id,duration,Album Rating,rating
Nils Frahm,Spaces,498000,0.217,0.23,0,0.862,0.0742,149.76,4,ambient,0DFbQjp468sMiIMTrZdr5w,498000.0,53.0,7.0
Jon Hopkins,Immunity,596773,0.434,0.305,1,0.892,0.0594,139.878,4,ambient,1rxWlYQcH945S3jpIMYR35,596773.0,69.0,8.0
Jon Hopkins,Singularity,333400,0.181,0.0863,1,0.956,0.0337,70.907,4,ambient,1nvzBC1M3dlCMIxfUCBhlO,333400.0,48.0,7.0
Alcest,Les voyages de l'âme,350320,0.24,0.548,0,0.00607,0.128,127.337,4,black-metal,1yENAh14y99tcC6No2mXWl,350320.0,44.0,5.0
Kvelertak,Kvelertak,267386,0.4,0.823,1,0.000337,0.128,134.887,4,black-metal,5xWx2DMLGYJrbz77k6lxnh,267386.0,22.7,8.0
Deafheaven,Sunbather,554573,0.1,0.804,1,6.84e-06,0.0954,82.211,4,black-metal,2kKXGWaCEl06EKZ4DxBJIT,554573.0,43.5,8.0
Alcest,Écailles de lune,498706,0.464,0.306,0,0.887,0.115,133.982,4,black-metal,6b9NZDM5QhD2FViyXKwBRT,498706.0,42.0,7.0
Alcest,Écailles de lune,498706,0.464,0.306,0,0.887,0.115,133.982,4,black-metal,6b9NZDM5QhD2FViyXKwBRT,498706.0,42.0,7.0
Deafheaven,Ordinary Corrupt Human Love,328642,0.296,0.48,1,0.166,0.157,133.509,4,black-metal,2iA7rzpQsOfAPkfH4Ekp7f,328642.0,41.0,5.0
Deafheaven,Ordinary Corrupt Human Love,328642,0.296,0.48,1,0.166,0.157,133.509,4,black-metal,2iA7rzpQsOfAPkfH4Ekp7f,328642.0,41.0,5.0
Toxic Holocaust,Chemistry of Consciousness,127826,0.214,0.982,0,1.53e-06,0.224,165.618,4,black-metal,0jwJZDxGMm3SSm6LULhxgv,127826.0,21.0,6.0
Kvelertak,Nattesferd,214506,0.421,0.876,1,0.000263,0.32,125.597,3,black-metal,5EAGz1IagdeJoJ2Cgb4DES,214506.0,19.8,6.0
Darkthrone,Circle The Wagons,166826,0.217,0.936,1,0.0442,0.333,73.833,4,black-metal,0M43d6s6l1b5x6SALQSrP0,166826.0,19.5,5.0
Darkthrone,Circle The Wagons,166826,0.217,0.936,1,0.0442,0.333,73.833,4,black-metal,0M43d6s6l1b5x6SALQSrP0,166826.0,19.5,5.0
Deafheaven,Infinite Granite,360333,0.28,0.875,0,0.00284,0.462,129.129,4,black-metal,0kCdT4gjYlSxIV7ll3Yd4M,360333.0,43.3,3.0
Wolves In The Throne Room,Thrice Woven,689693,0.112,0.944,1,0.000139,0.0342,151.694,4,black-metal,1Uw3L9tXHZFuTS1lepKNVk,689693.0,20.0,6.0
Wolves In The Throne Room,Celestial Lineage,88226,0.123,0.225,1,0.00063,0.0955,76.104,4,black-metal,3LHSxySCaooKrQxuLtuYSV,88226.0,18.7,6.0
Wolves In The Throne Room,Celestial Lineage,88226,0.123,0.225,1,0.00063,0.0955,76.104,4,black-metal,3LHSxySCaooKrQxuLtuYSV,88226.0,18.7,6.0
